"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña","Importe gastado (ARS)","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios",Impresiones,"CPM (costo por mil impresiones) (ARS)",Alcance,Frecuencia,"CTR (todos)","Clics en el enlace","CPC (todos) (ARS)","ROAS (retorno de la inversión en publicidad) de compras","Configuración de atribución",Resultados,"Indicador de resultado","Costo por resultados"
2025-01-01,2025-12-31,"AND CL -  Hola Argentina (Conversiones)",inactive,0,400,Diario,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,"AND - Hola Bolivia (Tráfico web)",inactive,0,500,Diario,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,"AND BO - Hola Arg (Tráfico web)",inactive,0,750,Diario,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,"AND - Hola Chile (compras)",inactive,0,1500,Diario,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,"AND CL - Hola Argentina (Compra)",inactive,0,1500,Diario,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,"AND CL - Hola Argentina (Tráfico)",inactive,0,1500,Diario,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,"AND - Arg / Perú (Compras)",inactive,0,700,Diario,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,"AND AR - Verano 2023 (Compras)",inactive,0,"Con el presupuesto del conjunto de anuncios",0,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,"AND CL - Trafico",inactive,0,1500,Diario,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,VETA_Conversion_Destinos_Nacionales,active,8735760.03,"Con el presupuesto del conjunto de anuncios",0,5350042,1632.839524,693059,7.719461,1.610642,62145,101.378206,74.861637,"7 días tras clic o 1 día tras visualización",7813,actions:offsite_conversion.fb_pixel_purchase,1118.10572507
2025-01-01,2025-12-31,SMILE_VETA_Trafico_Destinos_Nacionales,active,3368797.33,"Con el presupuesto del conjunto de anuncios",0,4187448,804.498905,1136370,3.684934,4.630505,95941,17.37389,6.510183,"7 días tras clic o 1 día tras visualización",66563,actions:omni_landing_page_view,50.61065953
2025-01-01,2025-12-31,SMILE_VETA_Conversion_Campañas_Golondrina,active,9506134.29,"Con el presupuesto del conjunto de anuncios",0,7788889,1220.473715,886101,8.790069,1.213973,40749,100.535501,67.333139,"Configuración de atribución múltiple",8830,actions:offsite_conversion.fb_pixel_purchase,1076.57239977
2025-01-01,2025-12-31,SMILE_VETA_Conversión_Remarketing,inactive,9521.33,"Con el presupuesto del conjunto de anuncios",0,10366,918.515339,5073,2.043367,0.926105,32,99.180521,22.633603,"7 días tras clic o 1 día tras visualización",2,actions:offsite_conversion.fb_pixel_purchase,4760.665
2025-01-01,2025-12-31,AND-CL_Trafico,inactive,0,"Con el presupuesto del conjunto de anuncios",0,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,SMILE_VETA_Mensajes_Puestos_Laborales,active,493237.27,"Con el presupuesto del conjunto de anuncios",0,529461,931.583762,99146,5.340215,4.020126,10034,23.172998,2.360361,"7 días tras clic o 1 día tras visualización",3732,actions:onsite_conversion.messaging_conversation_started_7d,132.16432744
2025-01-01,2025-12-31,VETA_Conversión_Prueba_A/B_Carnaval,inactive,203824.31,12000,Diario,297795,684.445038,119359,2.494952,0.709884,1066,96.416419,94.322708,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",244,actions:offsite_conversion.fb_pixel_purchase,835.34553279
2025-01-01,2025-12-31,SMILE_VETA_Conversion_Advantage_Ad_Chile,inactive,70288.89,"Con el presupuesto del conjunto de anuncios",0,74352,945.35305,15546,4.782709,0.758554,268,124.625691,74.690063,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",86,actions:offsite_conversion.fb_pixel_purchase,817.31267442
2025-01-01,2025-12-31,SMILE_VETA_Conversion_Advantage_Ad_Mendoza,inactive,34775.05,"Con el presupuesto del conjunto de anuncios",0,30158,1153.095364,15759,1.9137,0.520592,89,221.497134,104.671238,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",56,actions:offsite_conversion.fb_pixel_purchase,620.98303571
2025-01-01,2025-12-31,SMILE_VETA_Whatsapp,active,673684.88,"Con el presupuesto del conjunto de anuncios",0,669976,1005.53584,149268,4.48841,2.891298,5312,34.778012,6.607022,"7 días tras clic o 1 día tras visualización",2196,actions:onsite_conversion.messaging_conversation_started_7d,306.77817851
2025-01-01,2025-12-31,SMILE_VETA_Conversion_Advantage_Pais,active,2735344.6,"Con el presupuesto del conjunto de anuncios",0,1895305,1443.221328,383780,4.938519,1.408006,20268,102.501109,73.648677,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2492,actions:offsite_conversion.fb_pixel_purchase,1097.65032103
2025-01-01,2025-12-31,Trafico_Instagram,inactive,3470.42,"Con el presupuesto del conjunto de anuncios",0,4199,826.487259,3521,1.192559,1.166945,56,70.824898,,"7 días tras clic o 1 día tras visualización",61,profile_visit_view,56.89213115
2025-01-01,2025-12-31,SMILE_VETA_Conversion_Advantage_Bancos_Tarjetas,active,545885.38,"Con el presupuesto del conjunto de anuncios",0,369418,1477.690259,103439,3.571361,1.125554,3655,131.285565,66.467635,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",438,actions:offsite_conversion.fb_pixel_purchase,1246.31365297
2025-01-01,2025-12-31,SMILE_VETA_Alcance,active,871242.39,"Con el presupuesto del conjunto de anuncios",0,4872528,178.807057,961237,5.069018,0.40047,1418,44.649331,8.236504,"7 días tras clic o 1 día tras visualización",961237,reach,906.37625268
2025-01-01,2025-12-31,SMILE_VETA_Conversion_Advantage_Estudiantes,active,456354.86,"Con el presupuesto del conjunto de anuncios",0,306377,1489.520623,92109,3.326244,1.444299,3683,103.131042,72.285157,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",402,actions:offsite_conversion.fb_pixel_purchase,1135.21109453
2025-01-01,2025-12-31,VETA_Conversion_Campaña_ROAS_Objetivo,inactive,10556.3,"Con el presupuesto del conjunto de anuncios",0,2977,3545.952301,1555,1.914469,2.082634,22,170.262903,14.087322,"7 días tras clic",2,actions:offsite_conversion.fb_pixel_purchase,5278.15
2025-01-01,2025-12-31,"Previaje 2021 (Conversiones)",inactive,0,400,Diario,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,"VACAS MZA 2022 (Conversiones)",inactive,0,400,Diario,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,"AND - Interacción RRSS",inactive,0,250,Diario,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,"AND - Hola Chile (Tráfico web)",inactive,0,700,Diario,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,"AND - Alcance RRSS",inactive,0,2000,Diario,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,SMILE_VETA_Conversión_Viajes_Especiales,inactive,0,"Con el presupuesto del conjunto de anuncios",0,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,AND-CL_Convesion_Ventas_DestinosAR,inactive,0,"Con el presupuesto del conjunto de anuncios",0,0,0,0,0,0,,0,,-,,,
2025-01-01,2025-12-31,AND-CL_Reconocimiento_Alcance_DestinosAR,inactive,0,"Con el presupuesto del conjunto de anuncios",0,0,0,0,0,0,,0,,-,,,
